cik,accession,document,description,type,doc_class
51143,000095015713000398,form8k.htm,CURRENT REPORT,8-K,other
51143,000095015713000398,ex1.htm,"UNDERWRITING AGREEMENT DATED OCTOBER 31, 2013",EX-1,financing
51143,000095015713000398,ex2.htm,FORM OF 1.875% NOTE DUE 2020,EX-2,financing
51143,000095015713000398,ex3.htm,FORM OF 2.875% NOTE DUE 2025,EX-3,financing
51143,000095015713000398,0000950157-13-000398.txt,Complete submission text file,,other
51143,000110465917025881,a17-8917_110q.htm,10-Q,10-Q,other
51143,000110465917025881,a17-8917_1ex11.htm,EX-11,EX-11,other
51143,000110465917025881,a17-8917_1ex12.htm,EX-12,EX-12,other
51143,000110465917025881,a17-8917_1ex31d1.htm,EX-31.1,EX-31.1,other
51143,000110465917025881,a17-8917_1ex31d2.htm,EX-31.2,EX-31.2,other
51143,000110465917025881,a17-8917_1ex32d1.htm,EX-32.1,EX-32.1,other
51143,000110465917025881,a17-8917_1ex32d2.htm,EX-32.2,EX-32.2,other
51143,000110465917025881,0001104659-17-025881.txt,Complete submission text file,,other
51143,000110465917025881,ibm-20170331.xml,XBRL INSTANCE DOCUMENT,EX-101.INS,other
51143,000110465917025881,ibm-20170331.xsd,XBRL TAXONOMY EXTENSION SCHEMA DOCUMENT,EX-101.SCH,other
51143,000110465917025881,ibm-20170331_cal.xml,XBRL TAXONOMY EXTENSION CALCULATION LINKBASE DOCUMENT,EX-101.CAL,other
51143,000110465917025881,ibm-20170331_def.xml,XBRL TAXONOMY EXTENSION DEFINITION LINKBASE DOCUMENT,EX-101.DEF,other
51143,000110465917025881,ibm-20170331_lab.xml,XBRL TAXONOMY EXTENSION LABELS LINKBASE DOCUMENT,EX-101.LAB,other
51143,000110465917025881,ibm-20170331_pre.xml,XBRL TAXONOMY EXTENSION PRESENTATION LINKBASE DOCUMENT,EX-101.PRE,other
51143,000110465913030628,a13-10228_18k.htm,8-K,8-K,other
51143,000110465913030628,g102281bei001.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei002.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei003.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei004.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei005.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei006.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei007.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei008.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei009.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei010.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei011.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei012.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei013.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei014.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei015.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei016.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei017.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei018.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei019.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei020.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei021.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei022.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei023.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei024.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei025.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei026.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei027.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei028.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei029.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei030.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei031.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei032.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei033.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei034.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,g102281bei035.gif,GRAPHIC,GRAPHIC,other
51143,000110465913030628,0001104659-13-030628.txt,Complete submission text file,,other
51143,000110465914052018,a14-17121_18k.htm,8-K,8-K,other
51143,000110465914052018,g171211bki001.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki002.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki003.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki004.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki005.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki006.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki007.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki008.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki009.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki010.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki011.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki012.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki013.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki014.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki015.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki016.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki017.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki018.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki019.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki020.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki021.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki022.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki023.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki024.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki025.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki026.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki027.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki028.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki029.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki030.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki031.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki032.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki033.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki034.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki035.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,g171211bki036.gif,GRAPHIC,GRAPHIC,other
51143,000110465914052018,0001104659-14-052018.txt,Complete submission text file,,other
51143,000110465917024159,a17-11403_18k.htm,8-K,8-K,other
51143,000110465917024159,a17-11403_1ex99d1.htm,EX-99.1,EX-99.1,other
51143,000110465917024159,a17-11403_1ex99d2.htm,EX-99.2,EX-99.2,other
51143,000110465917024159,a17-11403_1ex99d3.htm,EX-99.3,EX-99.3,other
51143,000110465917024159,g114031mqi001.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi002.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi003.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi004.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi005.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi006.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi007.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi008.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi009.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi010.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi011.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi012.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi013.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi014.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi015.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi016.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi017.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi018.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi019.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi020.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi021.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi022.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi023.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi024.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi025.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi026.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi027.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi028.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi029.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,g114031mqi030.gif,GRAPHIC,GRAPHIC,other
51143,000110465917024159,0001104659-17-024159.txt,Complete submission text file,,other
51143,000110465918062295,a18-36505_18k.htm,8-K,8-K,other
51143,000110465918062295,a18-36505_1ex99d1.htm,EX-99.1,EX-99.1,other
51143,000110465918062295,a18-36505_1ex99d2.htm,EX-99.2,EX-99.2,other
51143,000110465918062295,a18-36505_1ex99d3.htm,EX-99.3,EX-99.3,other
51143,000110465918062295,g365051mqi001.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi002.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi003.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi004.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi005.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi006.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi007.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi008.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi009.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi010.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi011.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi012.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi013.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi014.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi015.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi016.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi017.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi018.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi019.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi020.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi021.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi022.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi023.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi024.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi025.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi026.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi027.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi028.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi029.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,g365051mqi030.gif,GRAPHIC,GRAPHIC,other
51143,000110465918062295,0001104659-18-062295.txt,Complete submission text file,,other
51143,000095015716002418,form8k.htm,,8-K,other
51143,000095015716002418,ex-1.htm,,EX-1,other
51143,000095015716002418,ex-4.htm,,EX-4,other
51143,000095015716002418,0000950157-16-002418.txt,Complete submission text file,,other
51143,000104746904007258,a2130745z8-k.htm,8-K,8-K,other
51143,000104746904007258,0001047469-04-007258.txt,Complete submission text file,,other
51143,000110465909003199,a09-3439_18k.htm,8-K,8-K,other
51143,000110465909003199,0001104659-09-003199.txt,Complete submission text file,,other
51143,000114420419045696,tv529917_8k.htm iXBRL,FORM 8-K,8-K,other
51143,000114420419045696,tv529917_ex99-1.htm,EXHIBIT 99.1,EX-99.1,other
51143,000114420419045696,0001144204-19-045696.txt,Complete submission text file,,other
51143,000114420419045696,ibm-20190923.xsd,XBRL TAXONOMY EXTENSION SCHEMA,EX-101.SCH,other
51143,000114420419045696,ibm-20190923_def.xml,XBRL TAXONOMY EXTENSION DEFINITION LINKBASE,EX-101.DEF,other
51143,000114420419045696,ibm-20190923_lab.xml,XBRL TAXONOMY EXTENSION LABEL LINKBASE,EX-101.LAB,other
51143,000114420419045696,ibm-20190923_pre.xml,XBRL TAXONOMY EXTENSION PRESENTATION LINKBASE,EX-101.PRE,other
51143,000114420419045696,tv529917_8k_htm.xml,EXTRACTED XBRL INSTANCE DOCUMENT,XML,other
51143,000110465912049718,a12-16438_28k.htm,8-K,8-K,other
51143,000110465912049718,0001104659-12-049718.txt,Complete submission text file,,other
51143,000110465914079405,a14-24199_18k.htm,8-K,8-K,other
51143,000110465914079405,0001104659-14-079405.txt,Complete submission text file,,other
51143,000110465912065383,a12-22038_18k.htm,8-K,8-K,other
51143,000110465912065383,a12-22038_1ex99d1.htm,EX-99.1,EX-99.1,other
51143,000110465912065383,a12-22038_1ex99d2.htm,EX-99.2,EX-99.2,other
51143,000110465912065383,0001104659-12-065383.txt,Complete submission text file,,other
51143,000110465908015706,a08-7350_18k.htm,8-K,8-K,other
51143,000110465908015706,g73501mdi001.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi002.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi003.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi004.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi005.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi006.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi007.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi008.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi009.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi010.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi011.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi012.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi013.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi014.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi015.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi016.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi017.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi018.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi019.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi020.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi021.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi022.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi023.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi024.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi025.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi026.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mdi027.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii001.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii002.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii003.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii004.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii005.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii006.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii007.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii008.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii009.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii010.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii011.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii012.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii013.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii014.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii015.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii016.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii017.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii018.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii019.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii020.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii021.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii022.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii023.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii024.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mii025.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mai001.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mai002.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mai003.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mai004.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mai005.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci001.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci002.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci003.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci004.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci005.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci006.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci007.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci008.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci009.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci010.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci011.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mci012.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei001.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei002.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei003.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei004.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei005.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei006.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei007.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei008.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei009.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei010.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei011.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei012.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei013.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei014.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei015.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei016.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei017.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei018.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei019.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei020.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei021.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei022.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei023.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mei024.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi001.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi002.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi003.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi004.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi005.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi006.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi007.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi008.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi009.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi010.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi011.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi012.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi013.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi014.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi015.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi016.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi017.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi018.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi019.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi020.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi021.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi022.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi023.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi024.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi025.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi026.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi027.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi028.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,g73501mgi029.jpg,GRAPHIC,GRAPHIC,other
51143,000110465908015706,0001104659-08-015706.txt,Complete submission text file,,other
51143,000110465915000998,a14-26620_18k.htm,8-K,8-K,other
51143,000110465915000998,a14-26620_1ex3d2.htm,EX-3.2,EX-3.2,other
51143,000110465915000998,0001104659-15-000998.txt,Complete submission text file,,other
51143,000104746903020297,a2112382z8-k.txt,8-K,8-K,other
51143,000104746903020297,0001047469-03-020297.txt,Complete submission text file,,other
51143,000155837020000200,ibm-20200121x8kb17421b.htm iXBRL,8-K,8-K,other
51143,000155837020000200,ex-99d1.htm,EX-99.1,EX-99.1,other
51143,000155837020000200,ex-99d2.htm,EX-99.2,EX-99.2,other
51143,000155837020000200,ex-99d3.htm,EX-99.3,EX-99.3,other
51143,000155837020000200,ex-99d3g001.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g002.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g003.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g004.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g005.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g006.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g007.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g008.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g009.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g010.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g011.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g012.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g013.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g014.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g015.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g016.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g017.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g018.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g019.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g020.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g021.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g022.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g023.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g024.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g025.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g026.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g027.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g028.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g029.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g030.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,ex-99d3g031.gif,GRAPHIC,GRAPHIC,other
51143,000155837020000200,0001558370-20-000200.txt,Complete submission text file,,other
51143,000155837020000200,ibm-20200121.xsd,EX-101.SCH,EX-101.SCH,other
